#annual maximum sea level (m relative to MSL)
#at Hilo, HI (NOAA Station 1617760)
#extracted from monthly data downloaded from https://tidesandcurrents.noaa.gov/reports.html?type=monthlyextremes&bdate=19240902&edate=20240901&units=metric&datum=MSL&id=1617760&retrieve=Retrieve on Sep  1 2024 14:40 GMT  

1970	0.65
1971	0.619
1972	0.528
1973	0.65
1974	0.711
1975	0.528
1976	0.61
1977	0.607
1978	0.741
1979	0.604
1980	0.689
1981	0.799
1982	0.756
1983	0.735
1984	0.747
1985	0.619
1986	0.711
1987	0.726
1988	0.72
1989	0.643
1990	0.735
1991	0.744
1992	0.726
1993	0.753
1994	0.613
1995	0.691
1996	0.753
1997	0.693
1998	0.651
1999	0.639
2000	0.626
2001	0.742
2002	0.668
2003	0.735
2004	0.784
2005	0.768
2006	0.708
2007	0.706
2008	0.722
2009	0.704
2010	0.709
2011	0.678
2012	0.645
2013	0.71
2014	0.737
2015	0.744
2016	0.841
2017	0.852
2018	0.79
2019	0.845
2020	0.916
2021	0.839
2022	0.72
2023	0.751
